"","Site","Date","Why","Sex","Age","Education","Relationship","Think_about","Trying","Tried_before","Time_since_tried","How_long","GMS_now1","GMS_now2","GMS_now3","GMS_now4","GMS_now5","GMS_now6","GMS_now7","GMS_now8","GMS_now9","GMS_now10","GMS_now11","GMS_now12","GMS_now13","GMS_week1","GMS_week2","GMS_week3","GMS_week4","GMS_week5","GMS_week6","GMS_week7","GMS_week8","GMS_week9","GMS_week10","GMS_week11","GMS_week12","GMS_week13","SIMS1","SIMS2","SIMS3","SIMS4","SIMS5","SIMS6","SIMS7","SIMS8","SIMS9","SIMS10","SIMS11","SIMS12","SIMS13","SIMS14","SIMS15","SIMS16","SIMS_Intrinsic","SIMS_IdenReg","SIMS_ExtReg","SIMS_Amotivation","Times_walk","Mins_walk","Times_vigorous","Mins_vigorous","Times_moderate","Mins_moderate","GMSnStr","GMSfStr","GMSnIM","GMSfIM","GMSnAV","GMSfAV"
"1",1,2013-08-03,"Better health and lifestyle",1,22,4,3,12,52,1,104,26,9,9,9,6,7,10,9,10,7,7,9,8,8,10,10,10,8,8,10,10,10,9,9,9,9,9,5,5,4,5,2,5,4,5,3,4,2,2,6,5,2,5,16,19,12,17,4,150,6,200,0,0,9,10,7.4,8.75,8.5,9
"2",1,2013-08-03,"Have been overseas for 2 weeks and therefore have been inactive",2,24,4,1,2,0,1,25,20,9,8,8,9,9,9,10,8,8,9,8,8,9,6,8,3,1,5,10,8,0,0,0,6,1,1,6,7,5,2,5,6,5,3,5,6,4,2,6,6,6,2,22,25,20,9,14,150,1,60,5,200,8.33333333333333,5.66666666666667,8.8,4,8,2.66666666666667
"3",1,2013-08-03,"to lose weight",2,40,5,6,12,6,1,104,26,9,9,7,7,8,9,10,7,7,9,5,9,9,7,9,7,7,7,7,7,7,7,7,6,6,7,5,6,6,1,5,6,5,1,4,6,1,1,6,6,6,1,20,24,18,4,4,240,4,240,0,0,8.33333333333333,7.66666666666667,8,7,7,6.33333333333333
"4",1,2013-08-03,"To be healthier, happier and toned.",2,23,3,2,4,0,1,26,52,7,9,3,5,4,9,9,1,9,6,6,6,6,7,7,1,7,7,7,7,1,7,7,7,7,8,7,7,1,1,7,7,1,1,7,7,1,1,7,1,1,1,28,22,4,4,0,0,0,0,0,0,6.33333333333333,5,6.6,7,6,7.33333333333333
"5",1,2013-08-03,"Because I want to start competeting in sport.",1,21,2,2,5,5,1,52,208,9,10,9,9,9,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,1,7,7,7,7,7,7,2,1,7,7,7,1,28,28,23,10,100,1400,0,0,1,180,9.33333333333333,10,9.5,10,10,10
"6",1,2013-08-03,"Appearance",2,24,4,2,52,4,1,300,4,10,10,10,5,5,5,10,10,1,6,10,10,5,10,10,0,5,4,5,10,10,5,5,10,10,10,4,7,6,2,2,7,7,3,3,5,1,1,3,7,7,2,12,26,21,8,4,250,2,140,0,0,10,6.66666666666667,4.4,4.75,10,10
"7",1,2013-08-03,"Weight gain and wanting to become fitter",2,26,2,1,24,8,1,24,2,9,8,9,9,9,9,9,9,6,6,9,10,10,9,9,9,9,9,9,9,5,6,5,9,9,9,4,6,3,2,6,6,1,2,4,6,1,2,6,6,1,1,20,24,6,7,10,240,4,180,0,0,8.66666666666667,9,7.8,8,9.5,9
"8",1,2013-08-03,"To be healthier and tone",2,23,4,2,52,12,1,120,20,10,5,7,9,9,10,10,7,10,8,8,8,7,9,7,6,10,10,8,8,8,10,7,8,7,7,4,6,5,2,4,7,5,2,4,5,1,1,7,7,4,4,19,25,15,9,14,200,2,120,1,40,7.33333333333333,7.33333333333333,9.2,8.75,8,7.33333333333333
"9",1,2013-08-03,"To feel happier with myself and also increase my energy levels",2,22,4,2,3,1,1,4,3,10,10,5,9,10,10,10,10,8,6,9,10,5,10,10,7,10,9,10,10,10,7,8,10,10,10,3,7,3,1,4,7,7,5,3,7,3,2,7,7,2,1,17,28,15,9,4,65,3,180,2,120,8.33333333333333,9,8.6,9.25,9.5,10
"10",1,2013-08-03,"To get back into shape and improve my noticeably declining health",2,22,3,1,12,1,1,35,5,8,8,6,10,10,6,8,3,7,9,4,8,8,8,10,7,8,6,8,8,3,9,5,8,7,9,3,6,2,1,3,7,3,2,2,5,1,1,5,7,7,3,13,25,13,7,4,55,0,0,0,0,7.33333333333333,8.33333333333333,8.4,6.75,6,8
