Site,Sex,Age,Education,Relationship,WANT,NEED,URGE,DOING,HOW,GOOD,BETTER,WORSE,SUCCEED,PAST,REMIND,GRAB,KEEP,WANTF,NEEDF,URGEF,DOINGF,HOWF,GOODF,BETTERF,WORSEF,SUCCEEDF,PASTF,THOUGHTF,REMINDF,GRABF
1,1,22,4,3,9,9,9,6,7,10,9,10,7,7,9,8,8,10,10,10,8,8,10,10,10,9,9,9,9,9
1,2,24,4,1,9,8,8,9,9,9,10,8,8,9,8,8,9,6,8,3,1,5,10,8,0,0,0,6,1,1
1,2,40,5,6,9,9,7,7,8,9,10,7,7,9,5,9,9,7,9,7,7,7,7,7,7,7,7,6,6,7
1,2,23,3,2,7,9,3,5,4,9,9,1,9,6,6,6,6,7,7,1,7,7,7,7,1,7,7,7,7,8
1,1,21,2,2,9,10,9,9,9,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,2,24,4,2,10,10,10,5,5,5,10,10,1,6,10,10,5,10,10,0,5,4,5,10,10,5,5,10,10,10
1,2,26,2,1,9,8,9,9,9,9,9,9,6,6,9,10,10,9,9,9,9,9,9,9,5,6,5,9,9,9
1,2,23,4,2,10,5,7,9,9,10,10,7,10,8,8,8,7,9,7,6,10,10,8,8,8,10,7,8,7,7
1,2,22,4,2,10,10,5,9,10,10,10,10,8,6,9,10,5,10,10,7,10,9,10,10,10,7,8,10,10,10
1,2,22,3,1,8,8,6,10,10,6,8,3,7,9,4,8,8,8,10,7,8,6,8,8,3,9,5,8,7,9
1,2,30,5,3,8,8,6,2,4,6,9,0,5,6,8,6,4,,,,,,,,,,,,,
1,1,23,4,2,7,1,7,9,9,9,9,10,9,9,7,9,9,8,7,8,7,7,9,9,9,5,8,8,6,7
1,2,23,4,3,8,7,3,5,8,8,8,5,8,9,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8
1,2,30,4,3,8,10,8,8,8,10,10,10,10,10,9,9,9,9,9,9,9,9,8,9,9,8,8,9,8,9
1,2,33,2,3,10,7,8,8,8,10,10,10,10,7,7,9,7,9,8,9,8,8,8,8,7,8,8,8,8,8
1,2,22,3,1,5,4,3,6,7,5,6,6,3,6,6,4,3,4,4,2,3,6,6,5,6,6,6,4,4,4
1,2,29,2,3,7,9,6,7,7,8,9,9,8,8,8,8,8,2,5,2,2,2,6,7,7,7,7,3,5,5
1,2,37,4,1,6,7,1,3,7,7,7,2,2,5,7,7,3,7,2,2,6,6,6,6,6,6,6,5,5,5
1,2,24,3,2,8,9,7,9,9,9,9,7,8,9,8,8,6,8,9,7,8,8,8,6,6,8,1,8,8,8
1,2,23,4,1,9,6,9,9,8,9,9,5,9,9,5,8,8,8,6,7,9,8,8,8,6,9,9,9,9,9
1,2,23,5,2,7,9,6,8,10,8,10,10,8,10,7,7,7,5,5,5,4,4,4,4,4,4,4,2,2,2
